X	B	Name	Дескриптор канала	Тип сигнала	A	NoScale	Технологический Блок	Зона	Ex	Контур	Старый контур	Контур с префиксом	Дескриптор Контура	FB	FB_Studio	HH_En	H_En	L_En	LL_En	Шкала Min	Шкала Max	Единицы измерения	Блокировка Min	Сигнализация Min	Сигнализация Max	Блокировка Max	CNTR	IOLINK	nmod	channel	Бит	Имя модуля	Тип IOM	path_ch	status_ch	mod_fault
1.2.1.1	TI13_DF	TE13_H1	Температура в бачке Тандем H-1	AI	RTD	False				TIRSAH13_H1	TI13_DF	DF_TI13	Температура в бачке Тандем H-1	FB_AI	FB_AI					0.0	100.0	°С	-999999.0	-999999.0	90.0	95.0	1	2	1	1		12AI1	R500 AI 16 081-000-CAA			
1.2.1.2	TI14_DF	TE14_H2	Температура в бачке Тандем H-2	AI	RTD	False				TIRSAH14_H2	TI14_DF	DF_TI14	Температура в бачке Тандем H-2	FB_AI	FB_AI					0.0	100.0	°С	-999999.0	-999999.0	90.0	95.0	1	2	1	2		12AI1	R500 AI 16 081-000-CAA			
1.2.1.3	TI15_DF	TE15_H3	Температура в бачке Тандем H-3	AI	RTD	False				TIRSAH15_H3	TI15_DF	DF_TI15	Температура в бачке Тандем H-3	FB_AI	FB_AI					0.0	100.0	°С	-999999.0	-999999.0	90.0	95.0	1	2	1	3		12AI1	R500 AI 16 081-000-CAA			
1.2.1.4	TI16_DF	TE16_H4	Температура в бачке Тандем H-4	AI	RTD	False				TIRSAH16_H4	TI16_DF	DF_TI16	Температура в бачке Тандем H-4	FB_AI	FB_AI					0.0	100.0	°С	-999999.0	-999999.0	90.0	95.0	1	2	1	4		12AI1	R500 AI 16 081-000-CAA			
1.2.1.5	TI17_DF	TE17_H5	Температура в бачке Тандем H-5	AI	RTD	False				TIRSAH17_H5	TI17_DF	DF_TI17	Температура в бачке Тандем H-5	FB_AI	FB_AI					0.0	100.0	°С	-999999.0	-999999.0	90.0	95.0	1	2	1	5		12AI1	R500 AI 16 081-000-CAA			
1.2.1.6	TI18	TE18	Температура в бачке Тандем H-6	AI	RTD	False				TIRSAH18	TI18	DF_TI18	Температура в бачке Тандем H-6	FB_AI	FB_AI					0.0	100.0	°С	-999999.0	-999999.0	90.0	95.0	1	2	1	6		12AI1	R500 AI 16 081-000-CAA			
1.2.1.7	TI19	TE19	Температура в бачке Тандем H-7	AI	RTD	False				TIRSAH19	TI19	DF_TI19	Температура в бачке Тандем H-7	FB_AI	FB_AI					0.0	100.0	°С	-999999.0	-999999.0	90.0	95.0	1	2	1	7		12AI1	R500 AI 16 081-000-CAA			
1.2.1.8	TI20	TE20	Температура в бачке Тандем H-8	AI	RTD	False				TIRSAH20	TI20	DF_TI20	Температура в бачке Тандем H-8	FB_AI	FB_AI					0.0	100.0	°С	-999999.0	-999999.0	90.0	95.0	1	2	1	8		12AI1	R500 AI 16 081-000-CAA			
1.2.1.9	TI21	TE21	Температура в бачке Тандем H-9	AI	RTD	False				TIRSAH21	TI21	DF_TI21	Температура в бачке Тандем H-9	FB_AI	FB_AI					0.0	100.0	°С	-999999.0	-999999.0	90.0	95.0	1	2	1	9		12AI1	R500 AI 16 081-000-CAA			
1.2.1.10	TI5	TE5_H20	Температура подшипников H-20	AI	RTD	False				TIRAH5_H20	TI5	MF_TI5	T подшипников Н-20	FB_AI	FB_AI					0.0	100.0	°С	-999999.0	-999999.0	70.0	999999.0	1	2	1	10		12AI1	R500 AI 16 081-000-CAA			
1.2.1.11	TI6	TE6	Температура в резервуаре Е-2	AI	RTD	False				TIRAHL6	TI6	MF_TI6	T в резерв. E-2	FB_AI	FB_AI					-50.0	100.0	°С	-999999.0	5.0	80.0	999999.0	1	2	1	11		12AI1	R500 AI 16 081-000-CAA			
1.2.1.12	TI311	TE311	Температура в емкости E-3-1	AI	RTD	False				TIRSAHL311	TI311	NF_TI311	Температура в емкости E-3-1	FB_AI	FB_AI					-50.0	100.0	°С	-999999.0	5.0	75.0	80.0	1	2	1	12		12AI1	R500 AI 16 081-000-CAA			
1.2.1.13	TI22	TE22	Температура в бачке Тандем H-1p	AI	RTD	False				TIRSAH22	TI22	DF_TI22	Температура в бачке Тандем H-1p	FB_AI	FB_AI					0.0	100.0	°С	-999999.0	-999999.0	90.0	95.0	1	2	1	13		12AI1	R500 AI 16 081-000-CAA			
1.2.1.14				AI	RTD																						1	2	1	14		12AI1	R500 AI 16 081-000-CAA			
1.2.1.15				AI	RTD																						1	2	1	15		12AI1	R500 AI 16 081-000-CAA			
1.2.1.16				AI	RTD																						1	2	1	16		12AI1	R500 AI 16 081-000-CAA			
1.2.2.1	LIRSAHHLL8633	LT8633	Уровень в приемной камере дрен вод	AI	4-20мA	False				LIRSAHL8633	LIRSAHHLL8633	CE_LIRSAHHLL8633	Уровень в приемной камере дрен вод	FB_AI	FB_AI					0.0	3.0	м	0.4	0.5	2.2	2.5	1	2	2	1		12AI2	R500 AI 16 081-000-CAA			
1.2.2.2	PI54	PT54	Давление на выкиде H-1	AI	4-20мA	False				PIRCAH54	PIC54	DF_PIC54	Регул-ие давления на выкиде Н-1	FB_AI	FB_AI					0.0	1.6	МПа	-999999.0	-999999.0	0.96	999999.0	1	2	2	2		12AI2	R500 AI 16 081-000-CAA			
1.2.2.3	PI55	PT55	Давление на выкиде H-2	AI	4-20мA	False				PIRCAH55	PIC55	DF_PIC55	Регул-ие давления на выкиде Н-2	FB_AI	FB_AI					0.0	1.6	МПа	-999999.0	-999999.0	0.96	999999.0	1	2	2	3		12AI2	R500 AI 16 081-000-CAA			
